,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speeds
137,barrow,1,US,1592177243,75,71.29,-156.79,46.40,10.29
138,bengkulu,37,ID,1592177243,74,-3.8,102.27,75.60,5.14
139,albany,49,US,1592177137,53,42.6,-73.97,73.00,5.32
140,shumikha,0,RU,1592177243,75,55.23,63.3,44.94,6.71
141,pimentel,43,PE,1592177243,80,-6.84,-79.93,65.21,14.03
142,mount gambier,90,AU,1592177243,93,-37.83,140.77,55.40,10.29
143,manggar,80,ID,1592177243,83,-2.88,108.27,82.83,11.50
144,cruzeiro do sul,0,BR,1592177244,92,-29.51,-51.99,44.01,3.24
145,chernyshevskiy,84,RU,1592177244,56,63.01,112.47,56.70,9.84
146,upernavik,96,GL,1592177244,95,72.79,-56.15,32.63,13.20
147,cape town,75,ZA,1592177085,93,-33.93,18.42,55.00,2.24
148,nakamura,100,JP,1592177244,85,32.98,132.93,78.35,3.11
149,azul,0,AR,1592177244,49,-36.78,-59.86,46.00,4.00
150,cabo san lucas,5,MX,1592177244,31,22.89,-109.91,95.00,19.46
151,pekan,20,MY,1592177245,94,3.48,103.4,78.01,4.45
152,monrovia,75,LR,1592177245,94,6.3,-10.8,77.00,6.87
153,geraldton,2,AU,1592177245,93,-28.77,114.6,51.80,10.29
154,komsomolskiy,99,UZ,1592177245,46,40.43,71.72,69.80,4.70
155,kloulklubed,90,PW,1592177245,94,7.04,134.26,78.80,3.36
156,college,75,US,1592177245,87,64.86,-147.8,59.00,3.36
157,mudgee,0,AU,1592177245,93,-32.59,149.59,46.99,5.82
158,oriximina,75,BR,1592177246,73,-1.77,-55.87,79.32,3.20
159,jardim,16,BR,1592176951,88,-21.48,-56.14,69.15,4.36
160,ladysmith,75,CA,1592177222,48,48.98,-123.82,64.40,4.70
161,touros,20,BR,1592177246,88,-5.2,-35.46,77.00,3.36
162,valparaiso,90,CL,1592177246,93,-33.04,-71.63,53.60,13.87
163,belmonte,40,BR,1592177246,73,-15.86,-38.88,75.20,2.24
164,lompoc,0,US,1592177246,68,34.64,-120.46,66.20,21.92
165,leningradskiy,68,RU,1592177246,76,69.38,178.42,45.95,7.74
166,malm,77,NO,1592177247,82,64.07,11.22,60.80,14.99
167,san quintin,0,MX,1592177247,63,30.48,-115.95,69.51,16.17
168,grootfontein,0,NA,1592177247,63,-19.57,18.12,42.75,3.00
169,paamiut,41,GL,1592177247,84,61.99,-49.67,37.02,3.15
170,xining,98,CN,1592177247,68,36.62,101.77,58.75,1.48
171,kargil,77,IN,1592177247,51,34.57,76.1,47.43,4.83
172,mitu,90,CO,1592177248,95,1.2,-70.17,75.15,0.45
173,saint-philippe,37,RE,1592177248,78,-21.36,55.77,71.60,13.87
174,rehli,51,IN,1592177248,79,23.63,79.08,77.86,4.45
175,jega,100,NG,1592177248,53,12.22,4.38,84.45,3.58
176,kudahuvadhoo,18,MV,1592177249,77,2.67,72.89,84.15,13.33
177,orlik,0,RU,1592177249,57,52.52,99.83,56.23,0.96
178,faya,98,SA,1592177249,30,18.39,42.45,73.40,1.68
179,longyearbyen,75,SJ,1592177249,80,78.22,15.64,35.60,10.29
180,yar-sale,49,RU,1592177249,73,66.83,70.83,38.21,16.40
181,kamenka,1,RU,1592177249,55,51.32,42.77,61.00,10.00
182,beloha,0,MG,1592177249,94,-25.17,45.05,58.91,7.20
183,santa cruz,75,BO,1592177225,46,-17.8,-63.17,71.60,3.36
184,omboue,100,GA,1592177250,88,-1.57,9.26,74.32,8.08
185,asau,85,RO,1592177250,94,46.43,26.4,63.00,3.67
186,noumea,11,NC,1592177034,54,-22.28,166.46,78.80,5.82
187,ahipara,34,NZ,1592177250,67,-35.17,173.17,60.33,9.37
188,namatanai,64,PG,1592177250,72,-3.67,152.43,83.91,3.89
189,chapais,1,CA,1592177250,27,49.78,-74.85,64.40,4.70
190,san jose,75,US,1592177187,50,37.34,-121.89,79.00,18.34
191,carnarvon,15,AU,1592177251,37,-24.87,113.63,62.65,17.87
192,ardakan,0,IR,1592177251,9,32.31,54.02,84.20,6.93
193,udalguri,89,IN,1592177251,85,26.77,92.13,78.22,0.76
194,asyut,0,EG,1592177251,44,27.18,31.18,77.00,13.87
195,fort wellington,22,GY,1592177251,83,6.4,-57.6,79.30,6.73
196,baykit,0,RU,1592177251,67,61.67,96.37,47.80,11.86
197,coruripe,1,BR,1592177251,84,-10.13,-36.18,75.09,9.22
198,luxor,0,EG,1592177151,23,25.7,32.64,86.00,6.93
